time,target,master_offset,freq,path_delay
1736678853.914273493,0.5000381469726562,103218,-103686,885815
1736678854.918069557,0.49994516372680664,285103,109164,885815
1736678855.914150778,0.4999361038208008,222390,131982,885815
1736678856.914163214,0.499953031539917,148251,124560,823446
1736678857.914627645,0.500030517578125,-82184,-61399,813287
1736678858.914757312,0.5000209808349609,-35979,-39850,813287
1736678859.914165981,0.5000078678131104,-17205,-31869,912018
1736678860.914549514,0.49995875358581543,115542,95716,912018
1736678861.914248022,0.4999990463256836,13374,28211,912018
1736678862.915294619,0.5000612735748291,-146321,-127472,928624
1736678863.914781050,0.5000247955322266,-46756,-71803,928624
1736678864.915493454,0.49994611740112305,136839,97765,928624
1736678865.915505372,0.49992871284484863,183173,185151,928624
1736678866.915186155,0.500042200088501,-137890,-80961,928624
1736678868.914889084,0.5000591278076172,-167669,-152107,1006020
1736678869.914686968,0.49994611740112305,127682,92944,1006020
1736678870.915085438,0.4999091625213623,208066,211632,822539
1736678871.914919453,0.49999570846557617,-34439,31547,822539
1736678872.915115401,0.5000355243682861,-157296,-101642,822539
1736678873.915365824,0.49994492530822754,114687,123153,786503
1736678874.914922161,0.4999878406524658,13076,55948,786503
1736678875.915133366,0.500063419342041,-181624,-134829,786503
1736678876.915706597,0.500028133392334,-55483,-63176,786503
1736678877.915196127,0.49993443489074707,26901,2563,786503
1736678878.916357198,0.49967050552368164,904224,887957,852756
1736678879.914914631,0.5002720355987549,-863431,-608431,852756
1736678880.915499187,0.5000936985015869,-156716,-160745,852756
1736678881.915366688,0.5001332759857178,-266199,-317243,970390
1736678882.915202471,0.49998021125793457,171500,40596,970390
1736678883.915657801,0.49998044967651367,135083,55629,970390
1736678884.915545682,0.5000138282775879,7101,-31828,909427
1736678885.915088211,0.49999499320983887,53726,16927,909427
1736678886.915635498,0.5000021457672119,11951,-8730,960840
1736678887.915320458,0.49997949600219727,60342,43246,880695
1736678888.915237079,0.49997854232788086,48563,49570,880695
1736678889.915916490,0.49996209144592285,10298,25874,880695
1736678890.915973050,0.4998605251312256,360137,378802,880695
1736678891.915581594,0.5000410079956055,-388504,-261798,1026786
1736678892.916843864,0.4996676445007324,957482,967637,1026786
1736678893.915841808,0.5004727840423584,-1320994,-1023594,1089156
1736678894.915669130,0.5002052783966064,-388187,-487085,1179456
1736678895.916407097,0.49997782707214355,259307,43953,1168079
1736678896.915750802,0.49997568130493164,205750,68188,1168079
1736678897.916298443,0.5000185966491699,35057,-40780,1162662
1736678898.916253083,0.4999971389770508,69045,3725,1162662
1736678899.915945060,0.4999716281890869,83725,39118,1162221
1736678900.916799589,0.4999082088470459,197222,177733,993213
1736678901.919248364,0.499908447265625,198648,238325,993213
1736678902.915884598,0.5000467300415039,-207040,-107768,993213
1736678903.916202721,0.4999973773956299,-30305,6855,948237
1736678904.916327233,0.4999711513519287,-10516,17552,904887
1736678905.916864686,0.49988508224487305,282552,307465,878180
1736678906.916613813,0.5000877380371094,-298564,-188885,878180
1736678907.916544374,0.49992847442626953,-100244,-80134,878180
1736678908.918155275,0.4994521141052246,1463047,1453084,878180
1736678909.916580878,0.5004138946533203,-1325886,-896935,878180
1736678910.916703207,0.5001904964447021,-449619,-418434,878180
1736678911.916678898,0.5000202655792236,-44594,-148295,777305
1736678912.917284358,0.4997580051422119,708712,591633,673950
1736678913.916707975,0.5000617504119873,-196313,-100778,673950
1736678914.916810707,0.5001060962677002,-266884,-230243,673950
1736678915.916786221,0.4999568462371826,-46465,-89889,669771
1736678916.917729882,0.49959826469421387,1169543,1112179,669771
1736678917.917424291,0.5003530979156494,-1221911,-928412,834657
1736678918.921520097,0.4997432231903076,735152,662078,643929
1736678919.917370795,0.5001585483551025,-456237,-308766,643929
1736678920.917048750,0.5001747608184814,-353871,-343271,656446
1736678921.917745474,0.5001630783081055,-267918,-363479,826715
1736678922.917183748,0.5000483989715576,81955,-93982,826715
1736678924.917111370,0.49988722801208496,410365,259015,826715
1736678925.917625916,0.49988722801208496,82673,54432,826715
1736678926.919126680,0.4995737075805664,1242980,1239541,1091819
1736678927.917291413,0.5005931854248047,-1672442,-1302987,1246266
1736678928.917274963,0.5002198219299316,-380095,-512372,1246266
1736678929.917718005,0.5000085830688477,237130,-9176,1265077
1736678930.917405444,0.49977922439575195,134620,-40547,1265077
1736678931.920746790,0.4987609386444092,3454293,3319512,1265077
