data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,attack_value,PTPts
2772221.854,1739518740.736179,-69723.0,40828.0,4221656.0,0.052058458328247,8805.0,1607291.0,0.0,0.0,2780129.9720584583
2772195.309,1739518741.656884,-72410.0,17224.0,4188506.0,0.0247604846954345,248018.0,1402961.0,0.0,0.0,2766848.3537604846
2751697.091,1739518742.6296,22779.0,90690.0,4128200.0,0.0483512878417968,-904220.0,2474936.0,0.0,0.0,2778622.816351288
2718975.504,1739518743.652184,-45464.0,29281.0,4116181.0,0.0202338695526123,-104732.0,1710961.0,0.0,0.0,2721388.1332338694
2657458.524,1739518744.675082,105389.0,166495.0,4000841.0,0.0425739288330078,221176.0,1220744.0,0.0,0.0,2719376.8735739286
2508005.547,1739518745.648544,102415.0,195137.0,3839506.0,0.0154149532318115,-994612.0,2269256.0,0.0,0.0,2589234.662414953
2443254.748,1739518746.672124,-149053.0,-25606.0,3923697.0,0.0397305488586425,-781375.0,2122059.0,0.0,0.0,2425452.077730549
2529538.669,1739518747.643517,-171685.0,-92954.0,4012370.0,0.0112781524658203,-543525.0,2013348.0,0.0,0.0,2471096.6672781524
2632022.389,1739518748.666135,-74955.0,-47729.0,4044779.0,0.0342838764190673,502381.0,1054685.0,0.0,0.0,2591053.9492838765
2713930.378,1739518749.688919,-61473.0,-56734.0,4118539.0,0.0565228462219238,-565594.0,2196334.0,0.0,0.0,2670929.3475228464
2790004.808,1739518750.661371,-19389.0,-33092.0,4150130.0,0.0283725261688232,-1641999.0,3337513.0,0.0,0.0,2757329.298372526
2869649.393,1739518751.684842,-49839.0,-69359.0,4245353.0,0.0522749423980712,-568231.0,2360965.0,0.0,0.0,2821592.3412749423
2939974.817,1739518752.656438,29226.0,-5245.0,4263508.0,0.0236566066741943,-230645.0,2059113.0,0.0,0.0,2919371.4716566065
2986608.509,1739518753.679355,-4423.0,-30126.0,4332892.0,0.0475571155548095,-1117348.0,2977537.0,0.0,0.0,2957643.5425571157
3053057.406,1739518754.651075,-16834.0,-43864.0,4377023.0,0.0182797908782959,101658.0,1819135.0,0.0,0.0,3016716.448279791
3089979.567,1739518755.674241,69759.0,37678.0,4351034.0,0.0094707012176513,-46033.0,2002379.0,0.0,0.0,3090038.5814707014
2984930.715,1739518756.644821,263365.0,252212.0,4192982.0,0.0124223232269287,-419856.0,2116755.0,0.0,0.0,3086183.4484223234
2809244.099,1739518757.668447,82045.0,149902.0,4114854.0,0.0355589389801025,-1619143.0,3275922.0,0.0,0.0,2873840.122558939
2724501.087,1739518758.640167,-19776.0,72694.0,4176556.0,0.0076212882995605,-627084.0,2159318.0,0.0,0.0,2749320.642621288
2673651.421,1739518759.714546,4276.0,90813.0,4027958.0,0.0309309959411621,379685.0,1137467.0,0.0,0.0,2703192.311930996
