攻击结束,时间戳：1739554584858 ms

攻击开始,时间戳：1739555035061 ms,模式：1,目标值：2662410,持续时间：33秒
攻击结束,时间戳：1739555068074 ms

攻击开始,时间戳：1739555562268 ms,模式：2,目标值：2118886,持续时间：35秒
攻击结束,时间戳：1739555597281 ms

攻击开始,时间戳：1739555975544 ms,模式：2,目标值：6479038,持续时间：21秒
攻击结束,时间戳：1739555996552 ms

攻击开始,时间戳：1739556517759 ms,模式：2,目标值：5838271,持续时间：30秒
攻击结束,时间戳：1739556547766 ms

攻击开始,时间戳：1739557093977 ms,模式：1,目标值：6799600,持续时间：38秒
攻击结束,时间戳：1739557131992 ms

攻击开始,时间戳：1739557662242 ms,模式：2,目标值：2100859,持续时间：24秒
攻击结束,时间戳：1739557686248 ms

攻击开始,时间戳：1739558012385 ms,模式：2,目标值：2518470,持续时间：25秒
攻击结束,时间戳：1739558037393 ms

攻击开始,时间戳：1739558610619 ms,模式：2,目标值：4143507,持续时间：23秒
攻击结束,时间戳：1739558633626 ms

攻击开始,时间戳：1739559151833 ms,模式：2,目标值：6958551,持续时间：29秒
攻击结束,时间戳：1739559180843 ms

攻击开始,时间戳：1739559518963 ms,模式：2,目标值：7826092,持续时间：37秒
攻击结束,时间戳：1739559555978 ms

攻击开始,时间戳：1739560096377 ms,模式：3,目标值：2862228,持续时间：35秒
攻击结束,时间戳：1739560131390 ms

攻击开始,时间戳：1739560467570 ms,模式：2,目标值：3330491,持续时间：35秒
攻击结束,时间戳：1739560502584 ms

攻击开始,时间戳：1739561040843 ms,模式：1,目标值：6283785,持续时间：34秒
攻击结束,时间戳：1739561074873 ms

攻击开始,时间戳：1739561474067 ms,模式：1,目标值：2647337,持续时间：38秒
攻击结束,时间戳：1739561512083 ms

攻击开始,时间戳：1739561833214 ms,模式：1,目标值：4669007,持续时间：26秒
攻击结束,时间戳：1739561859224 ms

攻击开始,时间戳：1739562421477 ms,模式：3,目标值：7919001,持续时间：31秒
攻击结束,时间戳：1739562452488 ms

攻击开始,时间戳：1739562863668 ms,模式：3,目标值：2709481,持续时间：36秒
攻击结束,时间戳：1739562899683 ms

攻击开始,时间戳：1739563401950 ms,模式：1,目标值：5132207,持续时间：26秒
攻击结束,时间戳：1739563427957 ms

攻击开始,时间戳：1739563889211 ms,模式：1,目标值：2940667,持续时间：29秒
攻击结束,时间戳：1739563918223 ms

攻击开始,时间戳：1739564247437 ms,模式：2,目标值：5143965,持续时间：35秒
攻击结束,时间戳：1739564282447 ms

攻击开始,时间戳：1739564558597 ms,模式：1,目标值：7105517,持续时间：35秒
攻击结束,时间戳：1739564593611 ms

攻击开始,时间戳：1739564948794 ms,模式：3,目标值：5219443,持续时间：26秒
攻击结束,时间戳：1739564974824 ms

攻击开始,时间戳：1739565517005 ms,模式：2,目标值：4718620,持续时间：36秒
攻击结束,时间戳：1739565553017 ms

攻击开始,时间戳：1739565977190 ms,模式：1,目标值：2682969,持续时间：27秒
攻击结束,时间戳：1739566004199 ms

攻击开始,时间戳：1739566470430 ms,模式：1,目标值：2903104,持续时间：36秒
攻击结束,时间戳：1739566506440 ms

攻击开始,时间戳：1739566977656 ms,模式：1,目标值：3185539,持续时间：27秒
攻击结束,时间戳：1739567004666 ms

攻击开始,时间戳：1739567565885 ms,模式：3,目标值：3698633,持续时间：32秒
攻击结束,时间戳：1739567597898 ms

攻击开始,时间戳：1739568041046 ms,模式：1,目标值：6483277,持续时间：25秒
攻击结束,时间戳：1739568066053 ms

攻击开始,时间戳：1739568513270 ms,模式：2,目标值：7448763,持续时间：26秒
攻击结束,时间戳：1739568539278 ms

攻击开始,时间戳：1739568911547 ms,模式：1,目标值：5935838,持续时间：39秒
攻击结束,时间戳：1739568950560 ms

攻击开始,时间戳：1739569322687 ms,模式：1,目标值：4957755,持续时间：25秒
攻击结束,时间戳：1739569347697 ms

攻击开始,时间戳：1739569623824 ms,模式：2,目标值：5761135,持续时间：39秒
攻击结束,时间戳：1739569662840 ms

攻击开始,时间戳：1739570081999 ms,模式：2,目标值：6522074,持续时间：24秒
攻击结束,时间戳：1739570106006 ms

攻击开始,时间戳：1739570678177 ms,模式：2,目标值：4067029,持续时间：24秒
攻击结束,时间戳：1739570702184 ms

攻击开始,时间戳：1739571256445 ms,模式：2,目标值：3727082,持续时间：40秒
攻击结束,时间戳：1739571296462 ms

攻击开始,时间戳：1739571619573 ms,模式：3,目标值：5173455,持续时间：20秒
攻击结束,时间戳：1739571639579 ms

