data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,rolling_mean,rolling_std,rolling_range,change_count
2248553.743,1739515590.58152,-150140.0,-86062.0,4317675.0,0.0496938228607177,-57526.0,1838714.0,0.0,-31686.0,191795.4479457216,497819.0,4.0
2306300.79,1739515591.552902,52824.0,71860.0,4228365.0,0.026416540145874,239397.0,1482975.0,0.0,-61789.0,212269.32665437087,236753.0,4.0
2267608.288,1739515592.575494,28623.0,63506.0,4193749.0,0.0548093318939209,-772516.0,2441566.0,0.0,-94324.6,161596.31443043496,236753.0,4.0
2303349.702,1739515593.598829,-167027.0,-123557.0,4336077.0,0.0320796966552734,310324.0,1530586.0,0.0,-111229.4,80676.23486628513,123926.0,4.0
2398788.118,1739515594.57073,40485.0,33847.0,4300425.0,0.0595552921295166,-1587277.0,3429843.0,0.0,-91068.8,92918.21573459102,142328.0,4.0
2423627.46,1739515595.593367,-49045.0,-43537.0,4391611.0,0.0369482040405273,-601592.0,2502356.0,0.0,-39047.0,90400.44547843776,142328.0,4.0
2450858.91,1739515596.565601,91158.0,81952.0,4309607.0,0.0649843215942382,-1451978.0,3366891.0,0.0,-18828.0,82920.73870691215,197862.0,4.0
2415303.22,1739515597.587796,19621.0,37763.0,4395293.0,0.0421295166015625,594099.0,1290411.0,0.0,-11161.2,85186.1823636909,197862.0,4.0
2409026.054,1739515598.560188,9895.0,33923.0,4374616.0,0.0708673000335693,-466526.0,2343288.0,0.0,-12961.6,81260.34318042226,94868.0,4.0
2445482.707,1739515599.531888,-102116.0,-75120.0,4478878.0,0.0468621253967285,-700871.0,2659501.0,0.0,22422.8,45248.83655741881,94868.0,4.0
2600741.587,1739515600.604754,-206961.0,-210599.0,4665591.0,0.0252501964569091,-975427.0,3212955.0,0.0,-6097.4,64394.671943414694,169271.0,4.0
2737437.758,1739515601.576498,136393.0,70666.0,4601136.0,0.053664207458496,269867.0,1893342.0,0.0,-37680.6,118108.8687300831,355984.0,4.0
2723031.078,1739515602.599213,24570.0,-239.0,4638640.0,0.0307695865631103,68366.0,2145431.0,0.0,-28633.6,115601.28839809701,290975.0,4.0
2686067.422,1739515603.571532,199126.0,181688.0,4514672.0,0.05900239944458,-1067072.0,3130574.0,0.0,-27643.8,111310.96192064823,290975.0,4.0
2638152.746,1739515604.59505,-141180.0,-98880.0,4704683.0,0.0359373092651367,34617.0,2142925.0,0.0,10202.4,148132.8605161596,186713.0,4.0
2663882.848,1739515605.567307,180358.0,180304.0,4497184.0,0.0634663105010986,-1173906.0,3223284.0,0.0,2389.6,151224.45034021448,190011.0,4.0
2561769.125,1739515606.590061,-3957.0,50096.0,4553336.0,0.0403563976287841,-1423940.0,3441762.0,0.0,79853.4,120458.91823854306,207499.0,4.0
2495680.626,1739515607.562131,121638.0,174504.0,4396185.0,0.0683498382568359,-1247984.0,3140914.0,0.0,51783.4,120641.06214800995,207499.0,4.0
2436028.943,1739515608.586001,-144093.0,-54735.0,4537023.0,0.0444624423980712,-91767.0,2064332.0,0.0,71197.0,123172.61506032904,308498.0,4.0
2505072.516,1739515609.557967,-58318.0,-12188.0,4530884.0,0.021625280380249,-123067.0,2117251.0,0.0,2553.2,128076.8616581465,308498.0,4.0
2476579.384,1739515610.58215,150331.0,178965.0,4343854.0,0.0490243434906005,-457531.0,2335263.0,0.0,19125.6,106968.48127462594,157151.0,4.0
2378028.974,1739515611.553736,-30925.0,42809.0,4408658.0,0.0255587100982666,241492.0,1570891.0,0.0,13120.2,106616.8687323915,209482.0,4.0
2330979.214,1739515612.577076,70977.0,135433.0,4241406.0,0.0536656379699707,-57769.0,1794929.0,0.0,7726.6,106960.56760086869,193169.0,4.0
2155768.364,1739515613.548608,238094.0,323843.0,3999066.0,0.0306713581085205,-1354429.0,2800976.0,0.0,-2405.6,98100.3142614742,295617.0,4.0
1945385.188,1739515614.571666,-58557.0,98620.0,4005105.0,0.0586910247802734,-2183348.0,3510236.0,0.0,74031.8,130144.86176872293,531818.0,4.0
1957210.24,1739515615.596099,-257903.0,-118293.0,4084791.0,0.0350031852722168,-1138372.0,2640107.0,0.0,73984.0,106332.3921295858,409592.0,4.0
