Seconds_sin,Seconds_cos,master_offset,freq,path_delay,OT
-0.9199522299564264,-0.3920304766190994,4812,3278,4243430,2864778.503
-0.9199807302828519,-0.3919635900287557,66973,66883,4222105,2796355.254
-0.9200092292992751,-0.3918966930252843,-48202,-28200,4292719,2766283.41
-0.9200377340503426,-0.39182976906242206,-64043,-58502,4380364,2758544.565
-0.9200662231024976,-0.391762868462422,-37227,-50899,4399346,2763417.581
-0.9200947069399489,-0.39169596661325157,-142634,-167474,4591376,2665297.197
-0.9201231918839328,-0.3916290486638134,-78081,-145711,4710899,2613310.412
-0.9201516667926507,-0.3915621407882876,114658,23603,4710899,2663574.28
-0.9201801405313027,-0.39149522215704247,103620,46963,4710899,2638155.378
-0.9202086073409873,-0.39142830630341574,306730,281159,4518869,2594152.378
-0.9202370672007536,-0.3913613932796076,18480,84928,4518869,2607404.277
-0.9202655273014881,-0.39129446617670677,5214,77206,4518869,2713183.295
-0.9202939721777141,-0.39122756136724923,-106808,-33252,4518869,2685008.638
-0.9203224249336607,-0.39116062450638683,23262,64776,4453159,2749490.341
-0.9203508672219716,-0.3910936987523129,-11920,36572,4453159,2814616.762
-0.9203793046944059,-0.39102677081018644,278520,323436,4192639,2786943.822
-0.9204077382242002,-0.3909598386241383,-252526,-124054,4377174,2761500.972
-0.9204361606208628,-0.39089291912431123,139985,192699,4128635,2769760.126
-0.9204645909286147,-0.39082596746713,10674,105384,4128635,2777799.428
-0.9204930067637613,-0.39075903636257736,-101543,-3631,4128635,2738578.589
-0.9205214217760886,-0.39069209366370383,-252968,-185519,4302470,2709715.805
-0.9205498307055603,-0.39062515176056495,-281847,-290288,4551008,2719472.438
-0.9205782317494523,-0.39055821490406734,262703,169708,4302470,2736730.272
-0.9206066326804926,-0.3904912647738546,-105681,-119865,4551008,2712515.16
-0.9206350270126097,-0.3904243166575199,37442,-8447,4551008,2685234.225
-0.9206634148410188,-0.39035737033297346,194281,159625,4418389,2680881.061
-0.9206918001554313,-0.3902904163908606,233485,257113,4307489,2667438.415
-0.9207201718321842,-0.3902234810737471,-31527,62147,4307489,2580116.076
-0.9207485511794383,-0.39015651410807595,51612,135828,4175313,2560871.112
-0.9207769187931537,-0.39008956127764566,-178896,-79197,4279582,2486919.108
-0.9208052872672716,-0.39002259285923097,5254,51284,4180593,2638793.155
-0.9208336468343368,-0.3899556319092929,27508,75115,4180593,2703295.465
-0.9208619966542921,-0.38988868041771924,-46222,9637,4181378,2735465.332
-0.9208903533413473,-0.38982169914314496,80657,122649,4077109,2761699.714
-0.9209186965144467,-0.3897547362254018,-4283,61907,4077109,2727764.403
-0.9209470384529433,-0.3896877626571725,12500,77405,4077109,2779685.526
-0.9209753728805277,-0.38962079326901056,-226764,-158109,4149956,2865664.341
-0.9210036978838132,-0.38955383258843934,-3483,-2858,4149956,2946253.947
-0.921032029214207,-0.38948684337415074,-95889,-96308,4286604,3136142.841
-0.9210603502855611,-0.38941986483978897,8330,-20856,4286604,3312361.722
-0.9210886655076072,-0.3893528865610417,-141276,-167963,4481356,3327943.104
-0.9211169779318025,-0.38928590131904767,8903,-60167,4542759,3311596.039
-0.9211452776660994,-0.38921893252184503,84657,18258,4542759,3073370.027
-0.9211735850287516,-0.3891519320847289,90250,49248,4542759,3006210.277
-0.9212018815276563,-0.3890849437718015,-39566,-53493,4610580,2957789.57
-0.9212301716125224,-0.38901795705437886,75908,50111,4610580,3013871.056
-0.9212584596503443,-0.3889509615911433,115440,112416,4542759,2984047.183
-0.9212867358440733,-0.3888839805877491,27777,59385,4542759,2975076.109
-0.9213150208921653,-0.38881696500856144,8266,48207,4542759,2697480.712
-0.9213432927932262,-0.38874996697740744,-10777,31644,4542759,2824852.538
-0.9213715592288342,-0.3886829682970774,108458,147645,4419296,2679674.027
-0.9213998220874303,-0.38861596449097624,-106329,-34604,4494802,2598465.764
-0.9214280737946614,-0.3885489735195038,-257229,-217403,4712244,2625043.727
-0.9214563332661138,-0.3884819505250774,394926,357583,4303074,2829259.611
-0.9214845744560495,-0.38841495728093867,-317233,-236098,4711255,3142632.262
-0.9215128201957784,-0.3883479396299444,-43091,-57126,4654228,3028897.342
-0.9215410589868551,-0.3882809248487307,64624,37662,4654228,3161162.855
-0.9215692881560963,-0.38821391928608884,-380603,-388178,5021349,3205330.455
-0.921597523104569,-0.38814688638133304,148654,26898,5021349,3084696.11
-0.921625746075216,-0.388079868289121,371871,294712,4745989,2862407.179
-0.9216539646057567,-0.38801284711526074,486395,520797,4304373,2818251.202
-0.9216821783924796,-0.3879458235806818,-185532,-5212,4527297,2715887.231
-0.9217103792681269,-0.3878788170929236,72934,197595,4304373,2811942.475
-0.921738589964747,-0.3878117736348394,-89725,56816,4304373,2797419.696
-0.9217667892808097,-0.38774474358648303,-184500,-64877,4337290,2752900.389
-0.9217949830294941,-0.38767771313509186,-59972,4301,4337290,2768737.643
-0.9218231702945678,-0.3876106844606739,79577,125859,4202812,2681816.422
-0.92185135228881,-0.38754365468072416,-17954,52201,4202812,2645652.562
-0.9218795342421311,-0.38747661135288075,23325,88094,4134977,2598365.332
-0.9219077056723383,-0.38740957941430065,-20497,51269,4096630,2772186.242
-0.9219358822591367,-0.38734252155303994,-86579,-20962,4134977,2813171.718
-0.9219640476308142,-0.3872754767296864,5866,45509,4096630,2933333.906
-0.9219922019635198,-0.38720844453402636,11155,52558,4096630,2987764.925
-0.9220203599056446,-0.38714139008825393,-4451,40299,4096630,3176460.03
-0.9220485126611855,-0.3870743343329492,-59513,-16099,4096630,3272083.39
-0.9220766540051613,-0.3870072921000924,-7287,18274,4096630,3287586.516
-0.922104799911214,-0.3869402253329318,-276641,-253267,4375265,3269353.214
-0.9221329289544768,-0.3868731850850323,-339113,-398731,4709122,3346138.038
-0.9221610635868915,-0.38680611784755026,115563,-45789,4709122,3331256.121
-0.9221891925998835,-0.38673905033235906,160697,34014,4709122,3251652.778
-0.9222173154897867,-0.3866719837417903,238558,160084,4709122,3218441.274
-0.9222454294069441,-0.38660492487551346,43279,36373,4709122,3198819.362
-0.9222735345548295,-0.38653787325402117,223933,230010,4485888,3195440.702
-0.9223016420226109,-0.386470802419013,60102,133359,4485888,3083674.291
-0.9223297499504404,-0.38640371679935764,-341572,-250284,4750763,3137014.931
-0.9223578449935439,-0.3863366482471804,154423,143239,4526824,3373117.792
-0.9223859320459046,-0.3862695850876793,38685,73828,4526824,3077844.65
-0.9224140162641342,-0.3862025150092494,241040,287789,4275254,3309144.499
-0.9224421055904495,-0.3861354190356772,19803,138864,4275254,3405772.748
-0.9224701831291678,-0.386068337522827,-72030,52972,4220968,3402790.389
-0.9224982558255383,-0.3860012538824706,-192331,-88938,4286988,3795575.08
-0.9225263174285512,-0.3859341830567953,-44480,1213,4286988,3821990.222
-0.9225543810011343,-0.385867093823267,77608,109957,4194973,3571952.939
-0.9225824437887176,-0.38579999275899135,1382,57014,4194973,3093165.217
-0.922610498701241,-0.3857328968162391,-31133,24913,4191173,3097476.898
-0.92263854570422,-0.3856658060819004,-46871,-165,4191173,2940615.103
-0.9226665892857325,-0.3855987098212771,-18718,13927,4191173,2904990.16
-0.9226946253752931,-0.3855316177741425,-15888,11142,4184095,2992156.908
-0.9227226599877176,-0.3854645155461017,48607,70870,4165217,3021020.833
-0.9227506866206369,-0.38539741870067484,-17748,19097,4165217,2931291.991
-0.9227787102181548,-0.38533031540240725,-130108,-98587,4315843,2904131.741
-0.9228067291366847,-0.38526320958541244,-41873,-49384,4315843,2847288.959
-0.9228347355307503,-0.385196120045218,48468,28395,4315843,2823159.195
-0.9228627520897211,-0.3851289924238188,173972,168439,4184095,2869248.057
-0.9228907568982292,-0.38506187922438334,44391,91050,4184095,2856740.561
-0.9229187549482191,-0.38499476849020836,-83445,-23469,4252383,2833791.59
