master_offset,freq,path_delay,date,OT
-17810,104818,3439252,2025-01-17 09:17:20.570571776,3988602.985
-242597,-125312,3598182,2025-01-17 09:17:21.570391040,3983502.804
-87526,-43020,3598182,2025-01-17 09:17:22.570653440,4113235.718
-16171,2077,3598182,2025-01-17 09:17:23.570658560,4172039.474
251580,264976,3349965,2025-01-17 09:17:24.570679040,4119360.812
-87456,1414,3457501,2025-01-17 09:17:25.570620672,3964260.35
-41346,21288,3457501,2025-01-17 09:17:26.570596096,3986331.236
-37643,12587,3457501,2025-01-17 09:17:27.570631424,3997245.942
-235229,-196292,3674137,2025-01-17 09:17:28.570695168,4077907.051
293417,261785,3349965,2025-01-17 09:17:29.570663936,4164059.268
99123,155516,3349965,2025-01-17 09:17:30.570724608,3964206.942
-24411,61719,3298201,2025-01-17 09:17:31.570693376,3866871.796
-43498,35309,3298201,2025-01-17 09:17:32.570767360,3842778.419
-178721,-112963,3418646,2025-01-17 09:17:33.570803712,3882312.014
-158587,-146446,3529826,2025-01-17 09:17:34.570800384,4035052.012
49037,13602,3529826,2025-01-17 09:17:35.570804736,4162244.854
37392,16668,3529826,2025-01-17 09:17:36.570806528,4177281.15
45357,35851,3529826,2025-01-17 09:17:37.570798592,4184337.203
64434,68535,3529826,2025-01-17 09:17:38.570866176,4168095.639
125767,149198,3402591,2025-01-17 09:17:39.570707200,4104516.026
31097,92258,3402591,2025-01-17 09:17:40.570783744,4002267.449
-57210,13280,3402591,2025-01-17 09:17:41.570663680,3963717.334
-639739,-586412,3616210,2025-01-17 09:17:42.571288064,4162753.089
-10799,-149393,3616210,2025-01-17 09:17:43.571316224,4645521.864
301908,160074,3488975,2025-01-17 09:17:44.571346176,4730359.261
192182,140920,3488975,2025-01-17 09:17:45.571242752,4605680.664
116984,123377,3410140,2025-01-17 09:17:46.571350272,4499664.438
18672,60160,3410140,2025-01-17 09:17:47.571369728,4425107.682
209640,256730,3200694,2025-01-17 09:17:48.571354368,4334622.082
