攻击结束,时间戳：1739926868673 ms

攻击开始,时间戳：1739927343922 ms,模式：3,目标值：2937154,持续时间：31秒
攻击结束,时间戳：1739927374940 ms

攻击开始,时间戳：1739927723050 ms,模式：2,目标值：5192005,持续时间：41秒
攻击结束,时间戳：1739927764095 ms

攻击开始,时间戳：1739928313368 ms,模式：2,目标值：3154800,持续时间：27秒
攻击结束,时间戳：1739928340378 ms

攻击开始,时间戳：1739928782719 ms,模式：3,目标值：3084978,持续时间：50秒
攻击结束,时间戳：1739928832754 ms

攻击开始,时间戳：1739929382012 ms,模式：2,目标值：5576790,持续时间：45秒
攻击结束,时间戳：1739929427024 ms

攻击开始,时间戳：1739929723134 ms,模式：1,目标值：5445209,持续时间：60秒
攻击结束,时间戳：1739929783274 ms

攻击开始,时间戳：1739930212473 ms,模式：1,目标值：2678759,持续时间：21秒
攻击结束,时间戳：1739930233480 ms

攻击开始,时间戳：1739930578646 ms,模式：3,目标值：5935223,持续时间：50秒
攻击结束,时间戳：1739930628658 ms

攻击开始,时间戳：1739931043864 ms,模式：1,目标值：5085430,持续时间：54秒
攻击结束,时间戳：1739931097883 ms

攻击开始,时间戳：1739931363982 ms,模式：2,目标值：2874334,持续时间：45秒
攻击结束,时间戳：1739931408997 ms

攻击开始,时间戳：1739931870252 ms,模式：2,目标值：4669511,持续时间：24秒
攻击结束,时间戳：1739931894262 ms

攻击开始,时间戳：1739932339475 ms,模式：1,目标值：5168945,持续时间：46秒
攻击结束,时间戳：1739932385508 ms

攻击开始,时间戳：1739932789662 ms,模式：2,目标值：4881207,持续时间：28秒
攻击结束,时间戳：1739932817669 ms

攻击开始,时间戳：1739933222932 ms,模式：2,目标值：3734401,持续时间：58秒
攻击结束,时间戳：1739933280953 ms

攻击开始,时间戳：1739933652075 ms,模式：2,目标值：2203956,持续时间：47秒
攻击结束,时间戳：1739933699117 ms

攻击开始,时间戳：1739934179348 ms,模式：3,目标值：3664559,持续时间：32秒
攻击结束,时间戳：1739934211361 ms

攻击开始,时间戳：1739934529485 ms,模式：3,目标值：4347169,持续时间：35秒
攻击结束,时间戳：1739934564498 ms

攻击开始,时间戳：1739934969747 ms,模式：1,目标值：2135811,持续时间：48秒
攻击结束,时间戳：1739935017760 ms

攻击开始,时间戳：1739935486029 ms,模式：3,目标值：2630107,持续时间：32秒
攻击结束,时间戳：1739935518040 ms

攻击开始,时间戳：1739935817142 ms,模式：1,目标值：2471023,持续时间：54秒
攻击结束,时间戳：1739935871165 ms

攻击开始,时间戳：1739936200360 ms,模式：3,目标值：5188081,持续时间：50秒
攻击结束,时间戳：1739936250378 ms

攻击开始,时间戳：1739936790626 ms,模式：2,目标值：2734863,持续时间：58秒
攻击结束,时间戳：1739936848696 ms

攻击开始,时间戳：1739937256799 ms,模式：2,目标值：2531051,持续时间：22秒
攻击结束,时间戳：1739937278805 ms

攻击开始,时间戳：1739937625934 ms,模式：1,目标值：5727332,持续时间：44秒
攻击结束,时间戳：1739937669948 ms

攻击开始,时间戳：1739937939058 ms,模式：1,目标值：5497117,持续时间：41秒
攻击结束,时间戳：1739937980082 ms

攻击开始,时间戳：1739938357244 ms,模式：1,目标值：4437657,持续时间：49秒
攻击结束,时间戳：1739938406258 ms

攻击开始,时间戳：1739938797431 ms,模式：1,目标值：5642382,持续时间：53秒
攻击结束,时间戳：1739938850448 ms

攻击开始,时间戳：1739939154554 ms,模式：3,目标值：3622048,持续时间：40秒
攻击结束,时间戳：1739939194567 ms

攻击开始,时间戳：1739939574709 ms,模式：3,目标值：3970831,持续时间：32秒
攻击结束,时间戳：1739939606716 ms

攻击开始,时间戳：1739939928794 ms,模式：3,目标值：2529687,持续时间：55秒
攻击结束,时间戳：1739939983809 ms

攻击开始,时间戳：1739940361926 ms,模式：1,目标值：3336010,持续时间：20秒
攻击结束,时间戳：1739940381943 ms

攻击开始,时间戳：1739940744062 ms,模式：3,目标值：2488726,持续时间：43秒
攻击结束,时间戳：1739940787076 ms

攻击开始,时间戳：1739941132333 ms,模式：1,目标值：2765009,持续时间：45秒
攻击结束,时间戳：1739941177344 ms

攻击开始,时间戳：1739941455428 ms,模式：1,目标值：2827383,持续时间：54秒
攻击结束,时间戳：1739941509445 ms

攻击开始,时间戳：1739941779581 ms,模式：1,目标值：4371892,持续时间：54秒
攻击结束,时间戳：1739941833609 ms

攻击开始,时间戳：1739942232744 ms,模式：2,目标值：3008805,持续时间：32秒
攻击结束,时间戳：1739942264752 ms

攻击开始,时间戳：1739942705898 ms,模式：1,目标值：3451975,持续时间：39秒
攻击结束,时间戳：1739942744935 ms

攻击开始,时间戳：1739943099087 ms,模式：1,目标值：4613994,持续时间：20秒
攻击结束,时间戳：1739943119095 ms

攻击开始,时间戳：1739943608252 ms,模式：3,目标值：3068106,持续时间：23秒
攻击结束,时间戳：1739943631260 ms

攻击开始,时间戳：1739944131533 ms,模式：2,目标值：2632611,持续时间：43秒
攻击结束,时间戳：1739944174547 ms

攻击开始,时间戳：1739944510779 ms,模式：1,目标值：5484132,持续时间：30秒
攻击结束,时间戳：1739944540787 ms

攻击开始,时间戳：1739945109971 ms,模式：3,目标值：3084149,持续时间：54秒
攻击结束,时间戳：1739945163988 ms

攻击开始,时间戳：1739945537125 ms,模式：3,目标值：5078921,持续时间：36秒
攻击结束,时间戳：1739945573136 ms

攻击开始,时间戳：1739946118331 ms,模式：3,目标值：5025961,持续时间：31秒
攻击结束,时间戳：1739946149349 ms

攻击开始,时间戳：1739946588505 ms,模式：1,目标值：4719916,持续时间：30秒
攻击结束,时间戳：1739946618515 ms

攻击开始,时间戳：1739947024690 ms,模式：1,目标值：4721947,持续时间：25秒
攻击结束,时间戳：1739947049700 ms

攻击开始,时间戳：1739947426825 ms,模式：3,目标值：4524494,持续时间：32秒
攻击结束,时间戳：1739947458832 ms

攻击开始,时间戳：1739947867939 ms,模式：1,目标值：3352111,持续时间：32秒
攻击结束,时间戳：1739947899948 ms

攻击开始,时间戳：1739948294103 ms,模式：3,目标值：5373452,持续时间：40秒
攻击结束,时间戳：1739948334116 ms

攻击开始,时间戳：1739948696247 ms,模式：1,目标值：3921646,持续时间：47秒
攻击结束,时间戳：1739948743261 ms

攻击开始,时间戳：1739949033469 ms,模式：2,目标值：2191448,持续时间：54秒
攻击结束,时间戳：1739949087484 ms

攻击开始,时间戳：1739949547689 ms,模式：3,目标值：3101896,持续时间：32秒
攻击结束,时间戳：1739949579727 ms

攻击开始,时间戳：1739949849820 ms,模式：1,目标值：4190959,持续时间：45秒
攻击结束,时间戳：1739949894832 ms

攻击开始,时间戳：1739950242965 ms,模式：3,目标值：2278516,持续时间：59秒
攻击结束,时间戳：1739950301982 ms

攻击开始,时间戳：1739950737180 ms,模式：2,目标值：3192844,持续时间：25秒
攻击结束,时间戳：1739950762190 ms

攻击开始,时间戳：1739951172342 ms,模式：2,目标值：5592057,持续时间：38秒
攻击结束,时间戳：1739951210375 ms

攻击开始,时间戳：1739951606525 ms,模式：2,目标值：4946526,持续时间：46秒
攻击结束,时间戳：1739951652605 ms

攻击开始,时间戳：1739951921690 ms,模式：3,目标值：5532817,持续时间：55秒
攻击结束,时间戳：1739951976710 ms

攻击开始,时间戳：1739952262810 ms,模式：3,目标值：5961223,持续时间：50秒
攻击结束,时间戳：1739952312827 ms

攻击开始,时间戳：1739952691929 ms,模式：1,目标值：2948197,持续时间：28秒
攻击结束,时间戳：1739952719935 ms

攻击开始,时间戳：1739953156097 ms,模式：1,目标值：2318587,持续时间：24秒
攻击结束,时间戳：1739953180105 ms

攻击开始,时间戳：1739953620301 ms,模式：3,目标值：4225336,持续时间：56秒
攻击结束,时间戳：1739953676383 ms

攻击开始,时间戳：1739953963508 ms,模式：1,目标值：5106841,持续时间：42秒
攻击结束,时间戳：1739954005520 ms

攻击开始,时间戳：1739954557715 ms,模式：1,目标值：4244311,持续时间：51秒
攻击结束,时间戳：1739954608736 ms

攻击开始,时间戳：1739954947851 ms,模式：3,目标值：2093268,持续时间：41秒
攻击结束,时间戳：1739954988864 ms

攻击开始,时间戳：1739955394979 ms,模式：1,目标值：2208091,持续时间：26秒
攻击结束,时间戳：1739955420988 ms

攻击开始,时间戳：1739955805214 ms,模式：1,目标值：3132744,持续时间：43秒
攻击结束,时间戳：1739955848253 ms

攻击开始,时间戳：1739956358508 ms,模式：3,目标值：4724297,持续时间：44秒
攻击结束,时间戳：1739956402518 ms

攻击开始,时间戳：1739956702707 ms,模式：1,目标值：3612710,持续时间：33秒
攻击结束,时间戳：1739956735717 ms

攻击开始,时间戳：1739957031814 ms,模式：1,目标值：4316799,持续时间：29秒
攻击结束,时间戳：1739957060833 ms

攻击开始,时间戳：1739957365933 ms,模式：2,目标值：3423966,持续时间：20秒
